"Variables","Importance","Boruta1","Boruta2"
"X5.3024",0.04,0,0
"X5.3084",0.02,0,0
"X5.309",0.03,0,0
"X5.3101",0.03,0,0
"X5.3452",0.02,0,0
"X5.3595",0.01,0,0
"X5.3601",0.03,0,0
"X5.3606",0.01,0,0
"X5.3612",0.01,0,0
"X5.3617",0.01,0,0
"X5.4085",0.08,0,0
"X6.1198",0.05,0,0
"X6.1869",0.03,0,0
"X6.972",0.08,0,0
"X7.807",0.01,0,0
"X8.1644",0.01,0,0
"X8.6394",0.04,0,0
"X9.1083",0.06,0,0
"X9.3722",0.01,0,0
"X2.94_367.1209m.z",0,0,0
"X2.88_430.3307m.z",0.04,0,0
"X2.68_178.0779m.z",0.08,0,0
"X2.69_625.2683m.z",0.09,0,0
"X2.77_841.2319m.z",0.05,0,0
"X2.77_635.1525m.z",0.01,0,0
"X2.77_290.0644n",0.02,0,0
"X2.78_652.2054m.z",0.02,0,0
"X2.73_765.2021m.z",0.06,0,0
"X3.19_511.1019m.z",0,0,0
"X3.18_891.2649m.z",0.03,0,0
"X3.18_210.0614n",0.04,0,0
"X3.18_172.0604m.z",0.08,0,0
"X3.18_653.1734m.z",0.01,0,0
"X3.22_159.1041n",0.02,0,0
"X3.17_709.2354m.z",0.02,0,0
"X3.18_681.2047m.z",0.05,0,0
"X3.17_539.1334m.z",0.04,0,0
"X3.17_777.2211m.z",0.02,0,0
"X3.17_448.1555n",0.02,0,0
"X3.17_556.1244m.z",0.04,0,0
"X3.28_529.1987m.z",0.01,0,0
"X3.32_495.1689m.z",0.03,0,0
"X3.22_144.1243m.z",0.06,0,0
"X3.25_133.0427m.z",0.03,0,0
"X3.02_539.1942m.z",0.07,0,0
"X2.98_196.0451n",0.03,0,0
"X2.99_602.1775m.z",0.01,0,0
"X2.99_572.0986n",0.01,0,0
"X2.99_158.0443m.z",0.02,0,0
"X5.56_344.0727m.z",0.03,0,0
"X5.56_203.2467m.z",0.03,0,0
"X2.99_483.0708m.z",0.02,0,0
"X2.99_536.1878m.z",0.09,0,0
"X2.99_287.0231m.z",0.03,0,0
"X2.99_807.1687m.z",0.02,0,0
"X2.99_679.1214m.z",0.03,0,0
"X5.51_245.2791m.z",0.01,0,0
"X3.14_470.1997m.z",0.01,0,0
"X3.12_142.1758m.z",0.11,0,0
"X3.13_283.0894n",0.13,0,0
"X5.51_551.1705m.z",7.92,1,1
"X5.51_562.3196m.z",0.04,0,0
"X3.07_283.1580n",0.1,0,0
"X3.08_547.2104m.z",0.01,0,0
"X2.06_270.2831n",0.04,0,0
"X2.06_251.1251m.z",0.08,0,0
"X2.09_198.0623n",0.06,0,0
"X2.08_367.1895m.z",0.04,0,0
"X2.22_349.1096m.z",0.02,0,0
"X2.19_259.1646m.z",0.14,0,0
"X2.19_199.0632m.z",0.02,0,0
"X1.93_160.0545m.z",0.1,0,0
"X1.84_322.1472n",0.03,0,0
"X1.89_172.0957m.z",0.06,0,1
"X5.71_144.1919m.z",0.01,0,0
"X2.03_257.1018n",0.05,0,0
"X2.50_237.1833m.z",0.02,0,0
"X5.63_163.0859m.z",0.06,0,0
"X5.62_160.0526m.z",0.11,0,0
"X2.36_651.1943m.z",0.03,0,0
"X2.28_456.0927m.z",0.02,0,0
"X2.42_237.1836m.z",0.01,0,0
"X2.38_463.1842n",0.04,0,0
"X4.49_87.0435m.z",0.05,0,0
"X4.47_148.0341m.z",0.02,0,0
"X4.43_202.1581m.z",0.04,0,0
"X4.42_224.1007m.z",0.02,0,0
"X5.32_433.2518m.z",0.04,0,0
"X4.61_511.1902n",0.05,0,0
"X4.61_675.2586n",0.03,0,0
"X4.52_296.1992m.z",0.03,0,0
"X4.52_509.1784m.z",0.07,0,0
"X4.55_190.2275n",0.38,0,1
"X4.57_603.2365n",0.03,0,0
"X4.57_478.2635m.z",0.03,0,0
"X4.56_529.2005n",0.04,0,0
"X4.21_407.1062m.z",0.02,0,0
"X4.38_201.1110n",0.19,0,0
"X4.39_202.2260m.z",0.01,0,0
"X4.33_223.1618m.z",0.01,0,0
"X4.32_87.0435m.z",0.03,0,0
"X4.98_250.1647m.z",0.06,0,0
"X5.13_231.2603m.z",0.04,0,0
"X5.11_749.2956n",0.01,0,0
"X5.18_755.2696m.z",0.01,0,0
"X5.02_714.2424m.z",0.01,0,0
"X5.01_535.1753m.z",10.36,1,1
"X5.09_268.1632m.z",0.08,0,0
"X4.71_731.2564m.z",0.02,0,0
"X4.71_698.2474m.z",0.02,0,0
"X4.67_204.0397m.z",0.03,0,0
"X5.32_216.1222n",0.1,0,0
"X4.66_104.0702m.z",0.01,0,0
"X5.32_476.2086n",0.02,0,0
"X5.46_189.2270m.z",0.01,0,0
"X5.46_232.1468m.z",0.3,0,1
"X5.46_129.0787n",0.06,0,0
