"set","nr","mtry","oob"
"df4_d",8,150,0.0372881355932203
"df4_d",9,150,0.0372881355932203
"df4_d",10,150,0.0305084745762712
"df4_d",1,160,0.0406779661016949
"df4_d",2,160,0.0338983050847458
"df4_d",3,160,0.0338983050847458
"df4_d",4,160,0.0338983050847458
"df4_d",5,160,0.0372881355932203
"df4_d",6,160,0.0406779661016949
"df4_d",7,160,0.0271186440677966
"df4_d",8,160,0.0338983050847458
"df4_d",9,160,0.0338983050847458
"df4_d",10,160,0.0338983050847458
"df4_d",1,170,0.0406779661016949
"df4_d",2,170,0.0372881355932203
"df4_d",3,170,0.0305084745762712
"df4_d",4,170,0.0406779661016949
"df4_d",5,170,0.0440677966101695
"df4_d",6,170,0.0406779661016949
"df4_d",7,170,0.0338983050847458
"df4_d",8,170,0.0305084745762712
"df4_d",9,170,0.0474576271186441
"df4_d",10,170,0.0440677966101695
"df4_d",1,180,0.0406779661016949
"df4_d",2,180,0.0305084745762712
"df4_d",3,180,0.0338983050847458
"df4_d",4,180,0.0440677966101695
"df4_d",5,180,0.0305084745762712
"df4_d",6,180,0.0406779661016949
"df4_d",7,180,0.0338983050847458
"df4_d",8,180,0.0406779661016949
"df4_d",9,180,0.0372881355932203
"df4_d",10,180,0.0406779661016949
"df4_d",1,190,0.0372881355932203
"df4_d",2,190,0.0372881355932203
"df4_d",3,190,0.0406779661016949
"df4_d",4,190,0.0474576271186441
"df4_d",5,190,0.0474576271186441
"df4_d",6,190,0.0338983050847458
"df4_d",7,190,0.0338983050847458
"df4_d",8,190,0.0372881355932203
"df4_d",9,190,0.0406779661016949
"df4_d",10,190,0.0440677966101695
"df4_d",1,200,0.0338983050847458
"df4_d",2,200,0.0406779661016949
"df4_d",3,200,0.0406779661016949
"df4_d",4,200,0.0406779661016949
"df4_d",5,200,0.0440677966101695
"df4_d",6,200,0.0372881355932203
"df4_d",7,200,0.0372881355932203
"df4_d",8,200,0.0406779661016949
"df4_d",9,200,0.0440677966101695
"df4_d",10,200,0.0372881355932203
"df4_d",1,210,0.0406779661016949
"df4_d",2,210,0.0440677966101695
"df4_d",3,210,0.0372881355932203
"df4_d",4,210,0.0406779661016949
"df4_d",5,210,0.0406779661016949
"df4_d",6,210,0.0372881355932203
"df4_d",7,210,0.0406779661016949
"df4_d",8,210,0.0372881355932203
"df4_d",9,210,0.0372881355932203
"df4_d",10,210,0.0440677966101695
"df4_d",1,220,0.0440677966101695
"df4_d",2,220,0.0440677966101695
"df4_d",3,220,0.0372881355932203
"df4_d",4,220,0.0338983050847458
"df4_d",5,220,0.0440677966101695
"df4_d",6,220,0.0406779661016949
"df4_d",7,220,0.0406779661016949
"df4_d",8,220,0.0406779661016949
"df4_d",9,220,0.0440677966101695
"df4_d",10,220,0.0440677966101695
"df4_d",1,230,0.0508474576271186
"df4_d",2,230,0.0406779661016949
"df4_d",3,230,0.0406779661016949
"df4_d",4,230,0.0474576271186441
"df4_d",5,230,0.0474576271186441
"df4_d",6,230,0.0372881355932203
"df4_d",7,230,0.0440677966101695
"df4_d",8,230,0.0305084745762712
"df4_d",9,230,0.0372881355932203
"df4_d",10,230,0.0372881355932203
"df4_d",1,240,0.0440677966101695
"df4_d",2,240,0.0406779661016949
"df4_d",3,240,0.0406779661016949
"df4_d",4,240,0.0440677966101695
"df4_d",5,240,0.0542372881355932
"df4_d",6,240,0.0372881355932203
"df4_d",7,240,0.0474576271186441
"df4_d",8,240,0.0338983050847458
"df4_d",9,240,0.0406779661016949
"df4_d",10,240,0.0406779661016949
"df4_d",1,250,0.0440677966101695
"df4_d",2,250,0.0440677966101695
"df4_d",3,250,0.0372881355932203
"df4_d",4,250,0.0406779661016949
"df4_d",5,250,0.0372881355932203
"df4_d",6,250,0.0440677966101695
"df4_d",7,250,0.0372881355932203
"df4_d",8,250,0.0406779661016949
"df4_d",9,250,0.0406779661016949
"df4_d",10,250,0.0474576271186441
"df4_d",1,260,0.0372881355932203
"df4_d",2,260,0.0440677966101695
"df4_d",3,260,0.0338983050847458
"df4_d",4,260,0.0440677966101695
"df4_d",5,260,0.0576271186440678
"df4_d",6,260,0.0440677966101695
"df4_d",7,260,0.0508474576271186
"df4_d",8,260,0.0372881355932203
"df4_d",9,260,0.0406779661016949
"df4_d",10,260,0.0474576271186441
"df4_d",1,270,0.0474576271186441
"df4_d",2,270,0.0406779661016949
"df4_d",3,270,0.0440677966101695
"df4_d",4,270,0.0474576271186441
"df4_d",5,270,0.0440677966101695
"df4_d",6,270,0.0440677966101695
"df4_d",7,270,0.0508474576271186
"df4_d",8,270,0.0474576271186441
"df4_d",9,270,0.0440677966101695
"df4_d",10,270,0.0440677966101695
"df4_d",1,280,0.0440677966101695
"df4_d",2,280,0.0440677966101695
"df4_d",3,280,0.0474576271186441
"df4_d",4,280,0.0440677966101695
"df4_d",5,280,0.0406779661016949
"df4_d",6,280,0.0440677966101695
"df4_d",7,280,0.0440677966101695
"df4_d",8,280,0.0474576271186441
"df4_d",9,280,0.0372881355932203
"df4_d",10,280,0.0474576271186441
"df4_d",1,290,0.0440677966101695
